slug,title,author,isbn,status,first_published,date_updated,notes
adonais,Adonais,Percy Bysshe Shelley,,read,1821,,
adulthood-rites,Adulthood Rites,Octavia E. Butler,9781538765470,read,1988,,
advanced-persistent-threat-hacking,Advanced Persistent Threat Hacking,Wrightson,9780071828376,want,2014,,
advanced-programming-in-the-unix-environment,Advanced Programming in the UNIX Environment,W. Richard Stevens,,read,1992,,
advances-in-cryptology-crypto-2019,Advances in Cryptology – CRYPTO 2019,"Alexandra Boldyreva, Daniele Micciancio",9783030269487,read,2019,,
adventures-of-ideas,Adventures of Ideas,Alfred North Whitehead,,read,1933,,
aeneid,Aeneid,Virgil,0670038032,read,1968,,
aesops-fables,Aesop's Fables,Aesop,9780545576314,read,1848,,
africa-a-biography-of-the-continent,Africa: A Biography of the Continent,John Reader,,read,1999,,
after-london,After London,Richard Jefferies,9781465504777,read,1905,,
after-the-divorce,After the Divorce,Grazia Deledda,,read,1995,,
after-virtue,After Virtue,Alasdair MacIntyre,9780268086923,read,1981,,
afterlives,Afterlives,Abdulrazak Gurnah,9780593541906,want,2020,,
against-interpretation,Against Interpretation,Susan Sontag,0374520402,read,1966,,
against-the-day,Against the Day,Thomas Pynchon,9781101594667,want,2006,,
against-the-fall-of-night,Against the Fall of Night,Arthur C. Clarke,1857230264,read,1953,,
against-the-grain,Against the Grain,Richard Manning,9781466823426,read,2005,,
agamemnon,Agamemnon,Aeschylus,9781621075561,read,1816,,
agency,Agency,Roderick Munday,9780199230372,read,2010,,
agnes-grey,Agnes Grey,Anne Brontë,9783736819337,read,1847,,
agricola,Agricola,Tacitus,,read,1585,,
ajax,Ajax,Sophocles,,read,1714,,
ake,Ake,Wole Soyinka,,read,1982,,
albert-savarus,Albert Savarus,"Honoré de Balzac, Sheba Blake",9783986772468,read,2021,,
alcestis,Alcestis,Euripides,1544287453,read,1818,,
alcools,Alcools,Guillaume Apollinaire,,read,1913,,
algebra,Algebra,Michael Artin,0132413779,want,2009,,
algebra-2,Algebra,Serge Lang,038795385X,read,1966,,
algebraic-geometry,Algebraic Geometry,Robin Hartshorne,9781475738490,read,1977,,
algorithm-design,Algorithm Design,Jon Kleinberg and Éva Tardos,0321372913,read,2006,,
algorithms,Algorithms,Robert Sedgewick and Kevin Wayne,9780132762564,read,2011,,
algorithms-data-structures-programs,Algorithms + Data Structures = Programs,Niklaus Wirth,,read,1976,,
algorithms-unlocked,Algorithms Unlocked,Thomas H. Cormen,9780262313230,read,2013,,
alice-adams,Alice Adams,Booth Tarkington,,read,1921,,
alice-s-adventures-in-wonderland,Alice's Adventures in Wonderland,Lewis Carroll,,read,1869,,
all-about-love,All About Love,bell hooks,9780060959470,read,2000,,
all-clear,All Clear,Connie Willis,9780345522696,want,2010,,
all-my-sons,All My Sons,Arthur Miller,9780143115816,read,1947,,
all-quiet-on-the-western-front,All Quiet on the Western Front,Erich Maria Remarque,1784879800,read,2024,,
all-systems-red,All Systems Red,Martha Wells,9780765397522,read,2017,,
all-the-pretty-horses,All the Pretty Horses,Cormac McCarthy,9780679744399,read,1992,,
all-tomorrows-parties,All Tomorrow's Parties,William Gibson,9781101146484,read,1999,,
allan-quatermain,Allan Quatermain,Henry Rider Haggard,1980200270,read,2018,,
allan-quatermain-stories,Allan Quatermain Stories,H. Rider Haggard,1692716018,read,2019,,
alls-well-that-ends-well,All's Well That Ends Well,William Shakespeare,9781513210681,read,1734,,
almanac-of-the-dead,Almanac of the Dead,Leslie Marmon Silko,9780140173192,read,1991,,
almond,Almond,R. H. Taylor,,read,2023,,
altered-carbon,Altered Carbon,Richard K. Morgan,,read,,,
always-coming-home,Always Coming Home,Ursula K. Le Guin,,read,1985,,
